t_ms,x_mm,y_mm,z_mm,dx_mm,dy_mm,dz_mm,x_pulse,y_pulse,z_pulse
-99,160.000000,0.000000,-0.800000,0.000000,0.000000,0.000000,160000,0,-800
-98,160.000000,0.000000,-0.799987,0.000000,0.000000,0.000013,160000,0,-800
-97,160.000000,0.000000,-0.799622,0.000000,0.000000,0.000365,160000,0,-800
-96,160.000000,0.000000,-0.798757,0.000000,0.000000,0.000865,160000,0,-799
-95,160.000000,0.000000,-0.797392,0.000000,0.000000,0.001365,160000,0,-797
-94,160.000000,0.000000,-0.795527,0.000000,0.000000,0.001865,160000,0,-796
-93,160.000000,0.000000,-0.793162,0.000000,0.000000,0.002365,160000,0,-793
-92,160.000000,0.000000,-0.790297,0.000000,0.000000,0.002865,160000,0,-790
-91,160.000000,0.000000,-0.786932,0.000000,0.000000,0.003365,160000,0,-787
-90,160.000000,0.000000,-0.783067,0.000000,0.000000,0.003865,160000,0,-783
-89,160.000000,0.000000,-0.778702,0.000000,0.000000,0.004365,160000,0,-779
-88,160.000000,0.000000,-0.773837,0.000000,0.000000,0.004865,160000,0,-774
-87,160.000000,0.000000,-0.768472,0.000000,0.000000,0.005365,160000,0,-768
-86,160.000000,0.000000,-0.762607,0.000000,0.000000,0.005865,160000,0,-763
-85,160.000000,0.000000,-0.756242,0.000000,0.000000,0.006365,160000,0,-756
-84,160.000000,0.000000,-0.749377,0.000000,0.000000,0.006865,160000,0,-749
-83,160.000000,0.000000,-0.742012,0.000000,0.000000,0.007365,160000,0,-742
-82,160.000000,0.000000,-0.734147,0.000000,0.000000,0.007865,160000,0,-734
-81,160.000000,0.000000,-0.725782,0.000000,0.000000,0.008365,160000,0,-726
-80,160.000000,0.000000,-0.716917,0.000000,0.000000,0.008865,160000,0,-717
-79,160.000000,0.000000,-0.707553,0.000000,0.000000,0.009365,160000,0,-708
-78,160.000000,0.000000,-0.697688,0.000000,0.000000,0.009865,160000,0,-698
-77,160.000000,0.000000,-0.687323,0.000000,0.000000,0.010365,160000,0,-687
-76,160.000000,0.000000,-0.676458,0.000000,0.000000,0.010865,160000,0,-676
-75,160.000000,0.000000,-0.665093,0.000000,0.000000,0.011365,160000,0,-665
-74,160.000000,0.000000,-0.653228,0.000000,0.000000,0.011865,160000,0,-653
-73,160.000000,0.000000,-0.640863,0.000000,0.000000,0.012365,160000,0,-641
-72,160.000000,0.000000,-0.627998,0.000000,0.000000,0.012865,160000,0,-628
-71,160.000000,0.000000,-0.614633,0.000000,0.000000,0.013365,160000,0,-615
-70,160.000000,0.000000,-0.600768,0.000000,0.000000,0.013865,160000,0,-601
-69,160.000000,0.000000,-0.586403,0.000000,0.000000,0.014365,160000,0,-586
-68,160.000000,0.000000,-0.571538,0.000000,0.000000,0.014865,160000,0,-572
-67,160.000000,0.000000,-0.556173,0.000000,0.000000,0.015365,160000,0,-556
-66,160.000000,0.000000,-0.540308,0.000000,0.000000,0.015865,160000,0,-540
-65,160.000000,0.000000,-0.523943,0.000000,0.000000,0.016365,160000,0,-524
-64,160.000000,0.000000,-0.507078,0.000000,0.000000,0.016865,160000,0,-507
-63,160.000000,0.000000,-0.489713,0.000000,0.000000,0.017365,160000,0,-490
-62,160.000000,0.000000,-0.471848,0.000000,0.000000,0.017865,160000,0,-472
-61,160.000000,0.000000,-0.453483,0.000000,0.000000,0.018365,160000,0,-453
-60,160.000000,0.000000,-0.434618,0.000000,0.000000,0.018865,160000,0,-435
-59,160.000000,0.000000,-0.415253,0.000000,0.000000,0.019365,160000,0,-415
-58,160.000000,0.000000,-0.395388,0.000000,0.000000,0.019865,160000,0,-395
-57,160.000000,0.000000,-0.375023,0.000000,0.000000,0.020365,160000,0,-375
-56,160.000000,0.000000,-0.354158,0.000000,0.000000,0.020865,160000,0,-354
-55,160.000000,0.000000,-0.332793,0.000000,0.000000,0.021365,160000,0,-333
-54,160.000000,0.000000,-0.310929,0.000000,0.000000,0.021865,160000,0,-311
-53,160.000000,0.000000,-0.288564,0.000000,0.000000,0.022365,160000,0,-289
-52,160.000000,0.000000,-0.265699,0.000000,0.000000,0.022865,160000,0,-266
-51,160.000000,0.000000,-0.242334,0.000000,0.000000,0.023365,160000,0,-242
-50,160.000000,0.000000,-0.218469,0.000000,0.000000,0.023865,160000,0,-218
-49,160.000000,0.000000,-0.194104,0.000000,0.000000,0.024365,160000,0,-194
-48,160.000000,0.000000,-0.169239,0.000000,0.000000,0.024865,160000,0,-169
-47,160.000000,0.000000,-0.143874,0.000000,0.000000,0.025365,160000,0,-144
-46,160.000000,0.000000,-0.118009,0.000000,0.000000,0.025865,160000,0,-118
-45,160.000000,0.000000,-0.091644,0.000000,0.000000,0.026365,160000,0,-92
-44,160.000000,0.000000,-0.064779,0.000000,0.000000,0.026865,160000,0,-65
-43,160.000000,0.000000,-0.037414,0.000000,0.000000,0.027365,160000,0,-37
-42,160.000000,0.000000,-0.009549,0.000000,0.000000,0.027865,160000,0,-10
-41,160.000000,0.000000,0.018816,0.000000,0.000000,0.028365,160000,0,19
-40,160.000000,0.000000,0.047681,0.000000,0.000000,0.028865,160000,0,48
-39,160.000000,0.000000,0.077046,0.000000,0.000000,0.029365,160000,0,77
-38,160.000000,0.000000,0.106911,0.000000,0.000000,0.029865,160000,0,107
-37,160.000000,0.000000,0.137276,0.000000,0.000000,0.030365,160000,0,137
-36,160.000000,0.000000,0.168141,0.000000,0.000000,0.030865,160000,0,168
-35,160.000000,0.000000,0.199506,0.000000,0.000000,0.031365,160000,0,200
-34,160.000000,0.000000,0.231371,0.000000,0.000000,0.031865,160000,0,231
-33,160.000000,0.000000,0.263736,0.000000,0.000000,0.032365,160000,0,264
-32,160.000000,0.000000,0.296601,0.000000,0.000000,0.032865,160000,0,297
-31,160.000000,0.000000,0.329966,0.000000,0.000000,0.033365,160000,0,330
-30,160.000000,0.000000,0.363748,0.000000,0.000000,0.033782,160000,0,364
-29,160.000000,0.000000,0.397206,0.000000,0.000000,0.033458,160000,0,397
-28,160.000000,0.000000,0.430165,0.000000,0.000000,0.032958,160000,0,430
-27,160.000000,0.000000,0.462623,0.000000,0.000000,0.032458,160000,0,463
-26,160.000000,0.000000,0.494581,0.000000,0.000000,0.031958,160000,0,495
-25,160.000000,0.000000,0.526040,0.000000,0.000000,0.031458,160000,0,526
-24,160.000000,0.000000,0.556998,0.000000,0.000000,0.030958,160000,0,557
-23,160.000000,0.000000,0.587456,0.000000,0.000000,0.030458,160000,0,587
-22,160.000000,0.000000,0.617415,0.000000,0.000000,0.029958,160000,0,617
-21,160.000000,0.000000,0.646873,0.000000,0.000000,0.029458,160000,0,647
-20,160.000000,0.000000,0.675831,0.000000,0.000000,0.028958,160000,0,676
-19,160.000000,0.000000,0.704290,0.000000,0.000000,0.028458,160000,0,704
-18,160.000000,0.000000,0.732248,0.000000,0.000000,0.027958,160000,0,732
-17,160.000000,0.000000,0.759706,0.000000,0.000000,0.027458,160000,0,760
-16,160.000000,0.000000,0.786665,0.000000,0.000000,0.026958,160000,0,787
-15,160.000000,0.000000,0.813123,0.000000,0.000000,0.026458,160000,0,813
-14,160.000000,0.000000,0.839081,0.000000,0.000000,0.025958,160000,0,839
-13,160.000000,0.000000,0.864540,0.000000,0.000000,0.025458,160000,0,865
-12,160.000000,0.000000,0.889498,0.000000,0.000000,0.024958,160000,0,889
-11,160.000000,0.000000,0.913956,0.000000,0.000000,0.024458,160000,0,914
-10,160.000000,0.000000,0.937915,0.000000,0.000000,0.023958,160000,0,938
-9,160.000000,0.000000,0.961373,0.000000,0.000000,0.023458,160000,0,961
-8,160.000000,0.000000,0.984331,0.000000,0.000000,0.022958,160000,0,984
-7,160.000000,0.000000,1.006790,0.000000,0.000000,0.022458,160000,0,1007
-6,160.000000,0.000000,1.028748,0.000000,0.000000,0.021958,160000,0,1029
